codemp,prfawb,numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,OficinaOriCap,OficinaDesCap,PosOri,PosDes,tramo,escala,codpro,dsc_producto,codage,posage,NomAge,codshp,posshp,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrWei_BK,chwei_awb,grwei_awb,chwei,grwei,HayWhr,GrRev,NetRev,CostoAllot,Interl,Comision,Others_Incomes,DueCarrier,GrossRevSinProrr,SalesRevSinProrr,NetRevSinProrr,matricula,material,Tramos,ChWeiTotAWB,GrWeiTotAWB,TipoServicio,PasaSCL,PasaMIA,PasaLAX,PasaJFK,PasaMEX,PasaGDL,Actualizacion,shsh,prioCpty,FeedbackOp,TipVueRCP,TpotarBk,StsRva,FchWhr,Bode,Piezas,Piezas_BK
0,1,28387656,DFW,IQQ,USA,Chile,NA_USA_South,SA_Chile,IAH,SCL,DFW,SCL,1,1,1,CARGA GENERAL,165,DFW,AMERICAN AIRLINES,221728,B59,AMERICAN AIRLINES INC.,,,?,06-03-12 0:00,06-03-12 0:00,06-03-12 0:00,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,,,DFW-SCL-IQQ,0,0,Standard,YES,NO,NO,NO,NO,NO,05-11-12 3:08,1,,,,PESO,Pending,,SCL,2,2
0,1,28387656,DFW,IQQ,USA,Chile,NA_USA_South,SA_Chile,IAH,SCL,SCL,IQQ,2,2,1,CARGA GENERAL,165,DFW,AMERICAN AIRLINES,221728,B59,AMERICAN AIRLINES INC.,LA,164,P,07-11-12 0:00,07-11-12 16:45,07-11-12 20:10,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,320,B737-200,DFW-SCL-IQQ,0,0,Standard,YES,NO,NO,NO,NO,NO,05-11-12 3:08,1,97,CHANGED BY 2838419/SCLSV003,,PESO,Booked,,SCL,2,2
45,1,28670703,MIA,ASU,USA,Paraguay,NA_USA_Florida,SA_Paraguay,MIA,ASU,MIA,ASU,1,1,1,CARGA GENERAL,165,DFW,AMERICAN AIRLINES,165,MIA,AMERICAN AIRLINES,RF,767,C,03-11-12 0:00,03-11-12 6:51,03-11-12 16:34,122,55,54.43,54.43,54.43,54.43,1,220.45,276.69,0,0,0,0,0,220.45,276.69,276.69,N422LA,B767-300F,MIA-ASU,54.43,54.43,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,0,,,PESO,Flown,10/30/2012 09:51:00,MIA,2,2
0,1,28944926,MIA,BSB,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,BSB,MIA,GRU,1,1,1,CARGA GENERAL,940244,D44,,940245,D44,MASTERS MEDICAL INC,,,?,02-11-12 0:00,02-11-12 0:00,02-11-12 0:00,5,4,4.9,4.9,5,4.9,1,0,0,0,0,0,0,0,0,0,0,,,MIA-GRU-BSB,0,0,Standard,NO,YES,NO,NO,NO,NO,05-11-12 3:08,1,,,,PESO,Pending,11-02-12 13:27,GRU,1,1
0,1,28944926,MIA,BSB,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,BSB,GRU,BSB,2,2,1,CARGA GENERAL,940244,D44,,940245,D44,MASTERS MEDICAL INC,JJ,3562,P,03-11-12 0:00,03-11-12 0:00,03-11-12 0:00,5,4,4.9,4.9,5,4.9,1,0,0,0,0,0,0,0,0,0,0,,,MIA-GRU-BSB,0,0,Standard,NO,YES,NO,NO,NO,NO,05-11-12 3:08,1,,,,PESO,Flown,11-02-12 13:27,GRU,1,1
0,1,29024225,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,MIA,1,1,119,COMAT,165,DFW,AMERICAN AIRLINES,958845,D44,AMERICAN AIRLINES INC-TUL,TXX,1112,E,03-11-12 0:00,03-11-12 12:00,02-11-12 14:15,12,12,5.44,5.44,9.01,5.44,1,0,0,0,0,0,0,0,0,0,0,,,TUL-MIA-ASU,0,0,Standard,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Booked,11-02-12 14:15,MIA,3,3
0,1,29024225,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,MIA,ASU,2,2,119,COMAT,165,DFW,AMERICAN AIRLINES,958845,D44,AMERICAN AIRLINES INC-TUL,RF,767,C,03-11-12 0:00,03-11-12 6:51,03-11-12 16:34,12,12,5.44,5.44,9.01,5.44,1,0,0,0,0,0,0,0,0,0,0,N422LA,B767-300F,TUL-MIA-ASU,0,0,Standard,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,0,,,PESO,Flown,11-02-12 14:15,MIA,3,3
45,1,29092000,MIA,ASU,USA,Paraguay,NA_USA_Florida,SA_Paraguay,MIA,ASU,MIA,ASU,1,1,1,CARGA GENERAL,165,DFW,AMERICAN AIRLINES,165,MIA,AMERICAN AIRLINES,RF,767,C,03-11-12 0:00,03-11-12 6:51,03-11-12 16:34,37,36,36.29,36.29,22,22,1,146.97,202.85,0,0,0,0,0,146.97,202.85,202.85,N422LA,B767-300F,MIA-ASU,36.29,36.29,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Flown,11-01-12 11:54,MIA,4,4
0,1,29099475,DFW,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,DFW,MIA,1,1,1,CARGA GENERAL,165,DFW,AMERICAN AIRLINES,861185,B69,AMERICAN AIRLINES INC.,TGS,4,E,05-11-12 0:00,05-11-12 12:00,05-11-12 11:14,10,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,,,DFW-MIA-ASU,0,0,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Booked,11-05-12 11:14,MIA,1,1
0,1,29099475,DFW,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,MIA,ASU,2,2,1,CARGA GENERAL,165,DFW,AMERICAN AIRLINES,861185,B69,AMERICAN AIRLINES INC.,RF,741,C,08-11-12 0:00,08-11-12 7:50,08-11-12 17:40,10,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,N316LA,B767-300F,DFW-MIA-ASU,0,0,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Booked,11-05-12 11:14,MIA,1,1
