numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,PosOri,PosDes,Tramos,codpro,dsc_producto,posage,NomAge,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrRev,NetRev,TipoServicio,Piezas
29263625,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,TUL,MIA,TUL-MIA-ASU,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,,,?,03-11-12 0:00,03-11-12 0:00,08-11-12 0:00,7,0,0,only Cargo,3
34775834,DEN,FOR,USA,Brazil,NA_USA_West,SA_Brazil_Others,GRU,REC,GRU-REC,1,CARGA GENERAL,D44,,DSV AIR SEA INC,M3,6558,C,07-11-12 0:00,07-11-12 5:45,09-11-12 0:00,845,0,0,Standard,2
32615671,MIA,GUA,USA,Guatemala,NA_USA_Florida,CA_Guatemala,MIA,GUA,MIA-GUA,1,CARGA GENERAL,ATL,DELTA AIRLINES INC.,DELTA AIRLINES INC.,,,?,05-11-12 0:00,05-11-12 0:00,10-11-12 0:00,1560,0,0,only Cargo,48
27067552,MIA,SCL,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL,97,CONSOLIDADO,CGN,DEUTSCHE LUFTHANSA AG,DEUTSCHE LUFTHANSA AG,UC,1101,C,05-11-12 0:00,05-11-12 7:50,11-11-12 0:00,294,1525,1525,only Cargo,2
38425446,GTF,ASU,USA,Paraguay,NA_USA_West,SA_Paraguay,GTF,MIA,GTF-MIA-ASU,517,OTROS DG,MIA,FEDEX EXPRESS,FEDEX EXPRESS,,,?,30-10-12 0:00,30-10-12 0:00,12-11-12 0:00,18,75,131.24,only Cargo,1
75048794,AUS,POA,USA,Brazil,NA_USA_South,SA_Brazil_Special,AUS,MIA,AUS-MIA-POA,517,OTROS DG,MIA,FEDEX EXPRESS,FEDEX EXPRESS,,,?,31-10-12 0:00,31-10-12 0:00,13-11-12 0:00,17,79.11,114.11,only Cargo,3
78119554,MEM,MAO,USA,Brazil,NA_USA_SouthEast,SA_Brazil_MAO,MEM,GRU,MEM-GRU-MAO,1,CARGA GENERAL,D44,,DHL GLOBAL,,,?,02-11-12 0:00,02-11-12 0:00,14-11-12 0:00,29,0,0,Standard,2
78119565,MEM,MAO,USA,Brazil,NA_USA_SouthEast,SA_Brazil_MAO,MEM,GRU,MEM-GRU-MAO,1,CARGA GENERAL,D44,,DHL GLOBAL,,,?,02-11-12 0:00,02-11-12 0:00,15-11-12 0:00,28,0,0,Standard,2
25505045,BOS,EZE,USA,Argentina,NA_USA_NorthEast,SA_Argentina_EZE,BOS,JFK,BOS-JFK-MIA-EZE,97,CONSOLIDADO,BOS,HORN INTERNATIONAL FORWARDING INC.,HORN INTERNATIONAL FORWARDING INC.,,,?,01-11-12 0:00,01-11-12 0:00,16-11-12 0:00,363,0,0,only Cargo,1
25505056,BOS,EZE,USA,Argentina,NA_USA_NorthEast,SA_Argentina_EZE,BOS,JFK,BOS-JFK-MIA-EZE,97,CONSOLIDADO,BOS,HORN INTERNATIONAL FORWARDING INC.,HORN INTERNATIONAL FORWARDING INC.,T60,111,T,31-10-12 0:00,31-10-12 22:00,17-11-12 0:00,390,0,0,only Cargo,1
26939032,MIA,MCZ,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,BSB,MIA-BSB-MCZ,514,MEDICAMENTOS / VACUNAS,FLL,MANACO INTERNATIONAL FWDRS.,MANACO,JJ,8043,P,07-11-12 0:00,07-11-12 0:00,18-11-12 0:00,5,0,0,Only Pax,2
27873300,MIA,MVD,USA,Uruguay,NA_USA_Florida,SA_Uruguay,MIA,MVD,MIA-MVD,97,CONSOLIDADO,MIA,RECORD TIME CORPORATION,RECORD TIME CORPORATION,UC,1107,C,03-11-12 0:00,03-11-12 8:30,19-11-12 0:00,359,1057.17,1914.22,only Cargo,2
30711144,MIA,PUQ,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL-PUQ,1,CARGA GENERAL,MIA,FLORIDA INTEGRAL SERVICES INC.,FLORIDA INTEGRAL SERVICES INC.,UC,1101,C,30-10-12 0:00,30-10-12 17:11,20-11-12 0:00,110,10918255,689.1,Only Pax,1
30745385,JFK,GRU,USA,Brazil,NA_USA_NewYork,SA_Brazil_GRU,JFK,GRU,JFK-GRU,1,CARGA GENERAL,JFK,ALL EXPRESS CARGO INC.,ALL EXPRESS,JJ,8081,P,06-11-12 0:00,06-11-12 0:00,21-11-12 0:00,50,0,0,Only Pax,4
33362081,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,SCL,MIA-SCL-EZE,1,CARGA GENERAL,MIA,EXPEDITORS INTL OF WASHINGTON INC,V & M INTERNATIONAL FORWARDERS INC,RF,769,C,04-11-12 0:00,04-11-12 15:27,22-11-12 0:00,8,746281.3719,242,only Cargo,1
33475960,MIA,LIM,USA,Peru,NA_USA_Florida,SA_Peru,MIA,LIM,MIA-LIM,519,COURIER,FLL,DNJ LOGISTIC GROUP INC,DNJ LOGISTIC GROUP INC,LA,2515,P,01-11-12 0:00,01-11-12 18:46,23-11-12 0:00,10,0,0,Only Pax,1
33565173,JFK,SCL,USA,Chile,NA_USA_NewYork,SA_Chile,JFK,SCL,JFK-SCL,1,CARGA GENERAL,NYC,OCS AMERICA INC.,OCS AMERICA INC.,LA,531,P,04-11-12 0:00,04-11-12 23:29,24-11-12 0:00,45,164.25,315.75,Standard,3
33575021,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,EZE,MIA-EZE,1,CARGA GENERAL,MIA,SAREXP WORLDWIDE COURIER INC,SAREXP WORLDWIDE COURIER INC,UC,1105,C,07-11-12 0:00,07-11-12 11:45,25-11-12 0:00,1002,0,0,only Cargo,4
33830495,MIA,GRU,USA,Brazil,NA_USA_Florida,SA_Brazil_GRU,MIA,GRU,MIA-GRU,1,CARGA GENERAL,MIA,DK FREIGHT FORWARDERS INC,DK FREIGHT FORWARDERS INC,M3,8473,C,05-11-12 0:00,04-11-12 23:27,26-11-12 0:00,10,75,153.7,Only Pax,1
33830506,MIA,ASU,USA,Paraguay,NA_USA_Florida,SA_Paraguay,MIA,ASU,MIA-ASU,517,OTROS DG,MIA,DK FREIGHT FORWARDERS INC,DK FREIGHT FORWARDERS INC,RF,767,C,03-11-12 0:00,03-11-12 6:51,27-11-12 0:00,33,341.64,583.72,only Cargo,2
33833715,LAX,CGB,USA,Brazil,NA_USA_West,SA_Brazil_Others,LAX,LIM,LAX-LIM-MIA-BSB-CGB,521,OTROS ANIMALES VIVOS,LAX,LAN AIRLINES S.A.,JENNIFER COLLINS,LA,601,P,01-11-12 0:00,01-11-12 13:26,28-11-12 0:00,82,6429533.48,6948555,Standard,1
33835314,LAX,LIM,USA,Peru,NA_USA_West,SA_Peru,LAX,MEX,LAX-MEX-LIM,1,CARGA GENERAL,LAX,LAN AIRLINES S.A.,MIGUEL TAY CHEAN,M7,6875,C,05-11-12 0:00,05-11-12 5:01,29-11-12 0:00,17,19287275,1955209.15,Standard,1
